,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
0,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Ar-Raqqa,Tell Abiad,Suluk,,,Syria,6023057,2019-10-10,SYR68389,68389,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5272,Hammam al Turkman,39.0776,"On 10 October 2019, Turkish warplanes carried out air raids on YPG positions in the town of Hammam Al Turkman with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Air/drone strike,1,1571090204,2019
1,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,Islamist Militia (Syria),,Syria,6023249,2019-10-10,SYR68358,68358,Battles,0,1,8,2,28,760,SYR,36.5511,Maraanaz,37.0187,"On 10 October 2019, Turkish and pro-Turkish Islamist faction fighters shelled the town of Maraanaz while clashing with YPG forces in the area with casualties reported on both sides. Fatalities coded to 0.",Middle East,SOHR,Other,Armed clash,1,1571090204,2019
2,Military Forces of Turkey (2016-),YPG: Peoples Protection Units - Anti-Terror Unit,Al-Hasakeh,Ras Al Ain,Darbasiyah,,,Syria,6049159,2019-10-09,SYR68354,68354,Battles,0,2,8,2,28,760,SYR,37.0700,Darbasiyah,40.6540,"On 09 October, 2019, clashes took place between Turkish forces and YPG as part of Operation Peace Spring near Darbasiyah border crossing in Darbasiyah in al-Hasakeh. No advances were reported. Neither fatalities nor injuries were reported.",Middle East,SHAM; Liveuamap,Local partner-New media,Armed clash,1,1571164404,2019
3,Military Forces of Turkey (2016-),YPG: Peoples Protection Units - Anti-Terror Unit,Ar-Raqqa,Tell Abiad,Ein Issa,,,Syria,6049179,2019-10-09,SYR68386,68386,Explosions/Remote violence,7,2,8,2,28,760,SYR,36.3837,Ein Issa,38.8628,"On 09 October, 2019, Turkish warplanes carried out airstrikes on a military base of YPG's anti-terror units in Hoshan, near Ein Issa in Ar-Raqqa. 7 YPG fighters were killed and 16 were wounded.",Middle East,Liveuamap; SOHR,Local partner-New media,Air/drone strike,1,1571164404,2019
4,Military Forces of Turkey (2016-),YPG: Peoples Protection Units - Anti-Terror Unit,Al-Hasakeh,Quamishli,Quamishli,,,Syria,6023095,2019-10-09,SYR68355,68355,Battles,0,1,8,2,28,760,SYR,37.0447,Quamishli,41.2262,"On 09 October, 2019, clashes took place between Turkish forces and YPG as part of Operation Peace Spring on the outskirts of Quamishli city in al-Hasakeh. No advances were reported. Neither fatalities nor injuries were reported.",Middle East,SHAM,National,Armed clash,1,1571090204,2019
5,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,Afrin,Afrin,,,Syria,6049156,2019-10-08,SYR68351,68351,Battles,0,2,8,2,28,760,SYR,36.5304,Mreimin Afrin,36.9496,"On 08 October, 2019, Turkish forces shelled Mreimin area in Afrin district of Aleppo using artillery shells while YPG targeted the town with artillery in response. Neither fatalities nor injuries were reported.",Middle East,Liveuamap; SOHR,Local partner-New media,Armed clash,1,1571164404,2019
6,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6077854,2019-10-02,SYR68071,68071,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 2 October 2019, Turkish ground forces shelled YPG positions on the outskirts of the town of Tall Refaat with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164572,2019
7,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6079672,2019-10-02,SYR68070,68070,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5220,Menagh - Military Airport,37.0383,"On 2 October 2019, Turkish ground forces shelled YPG positions at the Menagh Military Airport with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164581,2019
8,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6049054,2019-10-01,SYR68066,68066,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5220,Menagh - Military Airport,37.0383,"On 1 October 2019, Turkish ground forces shelled YPG positions at the Menagh Military Airport with neither injuries nor fatalities reported.",Middle East,Liveuamap; SOHR,Local partner-New media,Shelling/artillery/missile attack,1,1571164403,2019
9,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6049056,2019-10-01,SYR68069,68069,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 1 October 2019, Turkish ground forces shelled YPG positions in the town of Tall Refaat with neither injuries nor fatalities reported.",Middle East,SOHR; Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164403,2019
10,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Mare',,,Syria,6075042,2019-10-01,SYR68067,68067,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4306,Harbal,37.1669,"On 1 October 2019, Turkish ground forces shelled YPG positions in the town of Harbal with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164568,2019
11,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Mare',,,Syria,6048963,2019-09-28,SYR67788,67788,Explosions/Remote violence,0,2,8,2,28,760,SYR,36.4306,Harbal,37.1669,"On 28 September, 2019, Turkish forces shelled YPG positions in the vicinity of Harbal in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,SOHR; Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164403,2019
12,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6017783,2019-09-28,SYR68078,68078,Explosions/Remote violence,0,2,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 28 September, 2019, Turkish forces shelled YPG positions in the vicinity of Tall Refaat in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1570485539,2019
13,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Mare',Opposition Rebels (Syria),,Syria,6048866,2019-09-16,SYR67525,67525,Battles,0,1,8,2,28,760,SYR,36.4827,Mare',37.1965,"On 16 September 2019, sporadic clashes, involving medium machine guns, took place between Turkish forces, supported by pro-Turkey opposition factions, and YPG in areas in the outskirts and vicinity of Mare' in Aleppo amid shelling of YPG areas by Turkish forces. Clashes and shelling resulted in the wounding of several fighters from both sides. No fatalities were reported.",Middle East,SOHR; Liveuamap,Local partner-New media,Armed clash,1,1571164403,2019
14,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6081802,2019-09-02,SYR66905,66905,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5511,Maraanaz,37.0187,"On 02 September 2019, Turkish forces shelled YPG positions in Maraanaz in Aleppo. Neither injuries nor fatalities were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164584,2019
15,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6075138,2019-08-29,SYR66736,66736,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5435,Al-Malikeyyeh,36.9904,"On 29 August, 2019, Turkish forces shelled YPG positions in al-Malikeyyeh in northern Aleppo countryside using artillery fire. Neither fatalities nor injuries were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164568,2019
16,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,Afrin,Afrin,,,Syria,6074901,2019-08-29,SYR66738,66738,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4370,Aqibah,36.9680,"On 29 August, 2019, Turkish forces shelled YPG positions in Aqibah in northern Aleppo countryside using artillery fire. Neither fatalities nor injuries were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164568,2019
17,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,A'zaz,A'zaz,,Civilians (Syria); Health Workers (Syria),Syria,6080403,2019-08-26,SYR66592,66592,Explosions/Remote violence,0,1,2,8,28,760,SYR,36.5849,Azaz,37.0432,"On 26 August 2019, YPG fighters fired mortars at a hospital and Turkish army positions in the town of Azaz with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164582,2019
18,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6078116,2019-08-22,SYR66401,66401,Battles,0,1,8,2,28,760,SYR,36.5248,Ein Daqneh,37.0776,"On 22 August 2019, Turkish and YPG forces clashed in the town of Ein Daqneh with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164574,2019
19,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Mare',,,Syria,6075753,2019-08-22,SYR66402,66402,Battles,0,1,8,2,28,760,SYR,36.4306,Harbal,37.1669,"On 22 August 2019, Turkish and YPG forces clashed in the town of Harbal with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164569,2019
20,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6075439,2019-08-22,SYR66403,66403,Battles,0,1,8,2,28,760,SYR,36.4793,Sheikh Isa,37.1467,"On 22 August 2019, Turkish and YPG forces clashed in the town of Sheikh Isa with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164569,2019
21,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,JWS: Syrian National Army,,Syria,6048534,2019-08-22,SYR66404,66404,Battles,0,1,8,2,28,760,SYR,36.5435,Al-Malikeyyeh,36.9904,"On 22 August 2019, Turkish ground forces shelled the town of Al-Malikeyyeh in Aleppo province while JWS forces clashed with YPG fighters with neither injuries nor fatalities reported.",Middle East,SOHR; Liveuamap,Local partner-New media,Armed clash,1,1571164403,2019
22,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Al-Hasakeh,Ras Al Ain,Ras Al Ain,,,Syria,5735571,2019-08-20,SYR66315,66315,Explosions/Remote violence,0,2,8,2,28,760,SYR,36.8494,Ras Al Ain,40.0747,"On 20 August 2019, Turkish forces targeted YPG positions in the eastern vicinity of Ras Al Ain in Al-Hasakeh with heavy artillery. Neither injuries nor fatalities were reported.",Middle East,SHAM,National,Shelling/artillery/missile attack,1,1567460811,2019
23,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6082337,2019-08-19,SYR66265,66265,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 19 August, 2019, Turkish forces shelled YPG positions in Tall Refaat in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164585,2019
24,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,Islamist Militia (Syria),,Syria,6048254,2019-08-06,SYR65601,65601,Battles,5,2,8,2,28,760,SYR,36.5435,Al-Malikeyyeh,36.9904,"On 6 August 2019, Islamist faction fighters clashed with YPG forces in the Al-Malikeyyeh area. Amid an exchange of shelling, some from Turkish army forces, 5 Islamist fighters were killed and YPG forces suffered an unknown number of casualties. Total fatalities coded to 5.",Middle East,Liveuamap; SOHR,Local partner-New media,Armed clash,1,1571164402,2019
25,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,JWS: Syrian National Army,,Syria,6075757,2019-08-06,SYR65602,65602,Battles,10,2,8,2,28,760,SYR,36.5511,Maraanaz,37.0187,"On 6 August 2019, Turkish forces shelled YPG positions in the Maraanaz area while Syrian National Army and YPG fighters clashed with an unknown number of YPG fighters reported killed. Unknown number of fatalities coded to 10.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164569,2019
26,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Al-Hasakeh,Quamishli,Quamishli,,,Syria,5734712,2019-08-03,SYR65455,65455,Battles,0,2,8,2,28,760,SYR,37.0447,Quamishli,41.2262,"On 3 August 2019, Turkish and YPG forces exchanged artillery and shelling in the vicinity of the city of Quamishli which resulted in injuries. No fatalities were reported.",Middle East,SHAM,National,Armed clash,1,1567460810,2019
27,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Al-Hasakeh,Ras Al Ain,Ras Al Ain,,,Syria,6048203,2019-08-03,SYR65456,65456,Battles,0,1,8,2,28,760,SYR,36.7907,Aziziyeh,39.9787,"On 3 August 2019, Turkish forces arrested a YPG fighter as he was attempting to enter Turkish territory from the town of Azizyeh in Al-Hasakeh province. Neither injuries nor fatalities were reported during the operation.",Middle East,SHAM; Liveuamap,Local partner-New media,Armed clash,1,1571164402,2019
28,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6077103,2019-08-02,SYR65420,65420,Battles,0,2,8,2,28,760,SYR,36.4793,Sheikh Isa,37.1467,"On 2 August 2019, Turkish ground forces shelled in the vicinity of the town of Sheikh Isa after YPG forces attempted to infiltrate the town with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164571,2019
29,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6076738,2019-08-02,SYR65421,65421,Battles,0,2,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 2 August 2019, Turkish ground forces shelled the vicinity of the town of Tall Refaat after YPG forces attempted to infiltrate the town with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164570,2019
30,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,Afrin,Afrin,,,Syria,6079186,2019-07-31,SYR65333,65333,Explosions/Remote violence,0,2,8,2,28,760,SYR,36.5111,Afrin,36.8655,"On 31 July 2019, Turkish forces shelled YPG positions in the vicinity of Soghanak in the countryside of Afrin. Neither injuries nor fatalities were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164581,2019
31,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,Afrin,Afrin,,,Syria,6074674,2019-07-29,SYR65209,65209,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4370,Aqibah,36.9680,"On 29 July, 2019, Turkish forces shelled YPG positions in Aqibah in northern Aleppo countryside using artillery fire. Neither fatalities nor injuries were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164568,2019
32,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Al-Hasakeh,Quamishli,Qahtaniyyeh,,,Syria,5734467,2019-07-29,SYR65210,65210,Explosions/Remote violence,0,2,8,2,28,760,SYR,37.0284,Qahtaniyyah,41.5473,"On 29 July, 2019, Turkish forces targeted a YPG observation point in the vicinity of Qahtaniyyah in eastern al-Hasakeh countryside using mortar fire. Neither fatalities nor injuries were reported.",Middle East,SHAM,National,Shelling/artillery/missile attack,1,1567460810,2019
33,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,Afrin,Afrin,,,Syria,6082234,2019-07-27,SYR65100,65100,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4365,Sorhane,36.9292,"On 27 July, 2019, Turkish forces shelled YPG positions in Sorhane in Afrin district of Aleppo using artillery fire. Neither fatalities nor injuries were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164585,2019
34,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,5669976,2019-07-06,SYR63659,63659,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5435,Al-Malikeyyeh,36.9904,"On 6 July 2019, Turkish ground forces fired rockets at YPG positions in the town of Al-Malikeyyeh with neither injuries nor fatalities reported.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1564753631,2019
35,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Al-Hasakeh,Ras Al Ain,Ras Al Ain,,,Syria,5840982,2019-07-03,SYR63658,63658,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.8494,Ras Al Ain,40.0747,"On 03 July 2019, Turkish forces shelled a YPG military patrol west of Ras Al Ain in Al-Hasakeh, wounding one YPG fighter. No fatalities were reported.",Middle East,SHAM,National,Shelling/artillery/missile attack,1,1567462245,2019
36,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6082392,2019-07-02,SYR63656,63656,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 02 July 2019, Turkish forces shelled YPG positions in Tall Refaat in Aleppo. Neither injuries nor fatalities were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164585,2019
37,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6080165,2019-07-02,SYR63657,63657,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4965,Tanab,37.0035,"On 02 July 2019, Turkish forces shelled YPG positions in Tanab in Aleppo. Neither injuries nor fatalities were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164582,2019
38,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Afrin,,,Syria,6047500,2019-06-26,SYR63071,63071,Explosions/Remote violence,1,1,2,8,28,760,SYR,36.4233,Kimar,36.8959,"On 26 June, 2019, YPG shelled the Turkish base in Kimar in northern Aleppo countryside, killing at least 1 Turkish soldier and wounding 3 others. Following the attack, Turkish forces conducted a sweep in the area surrounding the base.",Middle East,Liveuamap; SOHR,Local partner-New media,Shelling/artillery/missile attack,1,1571164401,2019
39,YPG: Peoples Protection Units,Mutiny of YPG: Peoples Protection Units,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,,,Syria,5840842,2019-06-18,SYR62650,62650,Battles,0,1,2,2,22,760,SYR,36.4868,Al-Hasakeh - Ghoweran,40.7582,"On 18 June, 2019, YPG arrested 3 defected YPG members in Ghoweran neighborhood of al-Hasakeh city.",Middle East,SHAM,National,Armed clash,1,1567462245,2019
40,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,5670962,2019-06-17,SYR62602,62602,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5248,Ein Daqneh,37.0776,"On 16 June, 2019, Turkish forces shelled YPG positions in Ein Daqneh in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1564753632,2019
41,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Mare',,,Syria,5670963,2019-06-17,SYR62603,62603,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4306,Harbal,37.1669,"On 16 June, 2019, Turkish forces shelled YPG positions in Harbal in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1564753632,2019
42,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,5670965,2019-06-17,SYR62604,62604,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5511,Maraanaz,37.0187,"On 16 June, 2019, Turkish forces shelled YPG positions in Maraanaz in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1564753632,2019
43,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,5670961,2019-06-17,SYR62605,62605,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5220,Menagh - Military Airport,37.0383,"On 16 June, 2019, Turkish forces shelled YPG positions in Menagh Military Airport in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1564753632,2019
44,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,5670964,2019-06-17,SYR62606,62606,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4793,Sheikh Isa,37.1467,"On 16 June, 2019, Turkish forces shelled YPG positions in Sheikh Isa in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1564753632,2019
45,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6081445,2019-06-16,SYR62544,62544,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5435,Al-Malikeyyeh,36.9904,"On 16 June, 2019, Turkish forces shelled YPG positions in al-Malikeyyeh in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164584,2019
46,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,Afrin,Afrin,,,Syria,6047328,2019-06-16,SYR62545,62545,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5269,Shawarighat al Arz,36.9966,"On 16 June, 2019, Turkish forces shelled YPG positions in Shawarighat al Arz in northern Aleppo countryside. Neither fatalities nor injuries were reported.",Middle East,Liveuamap; SOHR,Local partner-New media,Shelling/artillery/missile attack,1,1571164401,2019
47,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6047185,2019-06-09,SYR62157,62157,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5220,Menagh - Military Airport,37.0383,"On 09 June 2019, Turkish forces shelled YPG positions in the Military Airport of Menagh in Aleppo. Neither injuries nor fatalities reported.",Middle East,SOHR; Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164401,2019
48,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6047186,2019-06-09,SYR62158,62158,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4793,Sheikh Isa,37.1467,"On 09 June 2019, Turkish forces shelled YPG positions in the town of Sheikh Isa in Aleppo. Neither injuries nor fatalities reported.",Middle East,Liveuamap; SOHR,Local partner-New media,Shelling/artillery/missile attack,1,1571164401,2019
49,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6047187,2019-06-09,SYR62159,62159,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 09 June 2019, Turkish forces shelled YPG positions in the town of Tall Refaat in Aleppo. Neither injuries nor fatalities reported.",Middle East,SOHR; Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164401,2019
50,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,A'zaz,Tall Refaat,,,Syria,5671363,2019-06-09,SYR62160,62160,Explosions/Remote violence,1,2,2,8,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 09 June 2019, YPG forces shelled a Turkish observation post in the vicinity of the town of Tall Refaat in Aleppo, killing 1 Turkish fighter and wounding 7 others.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1564753633,2019
51,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Al-Hasakeh,Ras Al Ain,Ras Al Ain,,,Syria,6082638,2019-05-25,SYR61140,61140,Battles,0,2,8,2,28,760,SYR,36.8494,Ras Al Ain,40.0747,"On 25 May 2019, Turkish forces shot at a YPG patrol as it traveled near the city of Ras Al Ain. Neither injuries nor fatalities were reported.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164585,2019
52,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6077877,2019-05-17,SYR60864,60864,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5248,Ein Daqneh,37.0776,"On 17 May 2019, Turkish forces shelled YPG positions in Ein Daqneh in Aleppo. Neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164572,2019
53,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,6077160,2019-05-17,SYR60865,60865,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5247,Menagh,37.0480,"On 17 May 2019, Turkish forces shelled YPG positions in Menagh in Aleppo. Neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164571,2019
54,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6076085,2019-05-17,SYR60866,60866,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 17 May 2019, Turkish forces shelled YPG positions in the town of Tall Refaat in Aleppo. Neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Shelling/artillery/missile attack,1,1571164570,2019
55,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,6077542,2019-05-16,SYR60868,60868,Explosions/Remote violence,0,2,8,2,28,760,SYR,36.4456,Deir Jamal,37.0279,"On 16 May 2019, Turkish warplanes carried out air raids on YPG positions near Deir Jamal with neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Air/drone strike,1,1571164571,2019
56,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,A'zaz,,,Syria,5673107,2019-05-05,SYR60374,60374,Explosions/Remote violence,0,1,8,2,28,760,SYR,36.5220,Menagh - Military Airport,37.0383,"On 5 May 2019, Turkish forces shelled YPG positions in the Menagh Military Airbase with neither injuries nor fatalities reported.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1564753635,2019
57,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,,,Syria,5673108,2019-05-05,SYR60375,60375,Explosions/Remote violence,0,2,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 5 May 2019, Turkish forces shelled YPG positions in the Tall Refaat area with neither injuries nor fatalities reported.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1564753635,2019
58,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,A'zaz,A'zaz,,,Syria,5673109,2019-05-05,SYR60376,60376,Explosions/Remote violence,2,2,2,8,28,760,SYR,36.5849,Azaz,37.0432,"On 5 May 2019, YPG forces shelled in the vicinity of the town of Azaz which killed 2 Turkish soldiers and wounded others.",Middle East,SOHR,Other,Shelling/artillery/missile attack,1,1564753635,2019
59,Military Forces of Turkey (2016-),YPG: Peoples Protection Units,Aleppo,A'zaz,Tall Refaat,JWS: Syrian National Army,,Syria,6081856,2019-05-04,SYR59829,59829,Battles,1,2,8,2,28,760,SYR,36.4726,Tall Refaat,37.0941,"On 4 May 2019, Turkish and Syrian National Army forces clashed with YPG fighters in the Tall Refaat area with 1 Turkish soldiers reported killed and others wounded from YPG shelling.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164584,2019
