,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
414,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5863192,2018-02-12,SYR21448,21448,Battles,0,1,2,8,28,760,SYR,36.3675,Qushla,36.6067,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Hamam village in the northern countryside of Aleppo, in which the clashes were accompanied by air strikes by the Turkish warplanes and helicopters, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462274,2018
415,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5861356,2018-02-12,SYR21453,21453,Battles,0,2,2,8,28,760,SYR,36.3925,Jandairis,36.6896,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Aakijleh village in Jandairis area in the northern countryside of Aleppo, in which the clashes were accompanied by air strikes by the Turkish warplanes and helicopters, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462271,2018
416,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Afrin,HXP: Self-defense Forces,Operation Olive Branch; Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5865077,2018-02-12,SYR21420,21420,Battles,0,2,2,8,28,760,SYR,36.5111,Afrin,36.8655,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in the northern and north eastern countryside of Afrin in Aleppo northern countryside, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462276,2018
417,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5861386,2018-02-12,SYR21434,21434,Battles,0,1,2,8,28,760,SYR,36.3988,Bafillur,36.6663,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Bafillur village in the northern countryside of Aleppo, in which the clashes were accompanied by air strikes by the Turkish warplanes and helicopters, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462272,2018
418,Operation Olive Branch,YPG: Peoples Protection Units,Aleppo,Afrin,Jandairis,Opposition Rebels (Syria); Islamist Militia (Syria); Military Forces of Turkey (2016-),,Syria,6079855,2018-02-12,SYR21470,21470,Battles,0,1,2,2,22,760,SYR,36.3479,Mahmoudiyah,36.6789,The rebel factions of the Olive Branch operation supported by the Turkish army managed to control Mahmudiyah village in the northern countryside of Aleppo after clashes with YPG.,Middle East,Liveuamap,Local partner-New media,Non-state actor overtakes territory,1,1571164582,2018
419,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5858726,2018-02-12,SYR21487,21487,Battles,0,1,2,8,28,760,SYR,36.3992,Western Eshkab,36.6347,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Western Eshkab village in the northern countryside of Aleppo, in which the clashes were accompanied by air strikes by the Turkish warplanes and helicopters, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462268,2018
420,Operation Olive Branch,YPG: Peoples Protection Units,Aleppo,Afrin,Jandairis,Opposition Rebels (Syria); Islamist Militia (Syria),,Syria,6076245,2018-02-12,SYR21485,21485,Battles,0,1,2,2,22,760,SYR,36.3424,Upper Diwan,36.6998,"The rebel factions of the Olive Branch operation clashed with YPG in Upper Diwan village in Aleppo northern countryside, neither injuries nor fatalities reported.",Middle East,Liveuamap,Local partner-New media,Armed clash,1,1571164570,2018
421,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5866929,2018-02-12,SYR21444,21444,Battles,0,1,2,8,28,760,SYR,36.3397,Deir Ballut,36.6649,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Deir Ballut village in the northern countryside of Aleppo, in which the clashes were accompanied by air strikes by the Turkish warplanes and helicopters, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462278,2018
422,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5867703,2018-02-11,SYR21379,21379,Battles,0,1,2,8,28,760,SYR,36.3675,Qushla,36.6067,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Hamam village in the northern countryside of Aleppo, amid shelling by the Turkish army on the village, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462279,2018
423,YPG: Peoples Protection Units,Military Forces of Turkey (2016-),Aleppo,Afrin,Jandairis,HXP: Self-defense Forces,Opposition Rebels (Syria); Islamist Militia (Syria),Syria,5867808,2018-02-11,SYR21369,21369,Battles,0,1,2,8,28,760,SYR,36.3397,Deir Ballut,36.6649,"YPG and HXP fighters clashed against the Turkish army and the rebel and Islamic factions in Deir Ballut village in the northern countryside of Aleppo, neither injuries nor fatalities reported.",Middle East,SOHR,Other,Armed clash,1,1567462279,2018
