,data_id,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
55,6077542,2019-05-16,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Deir Jamal,36.4456,37.0279,Liveuamap,"On 16 May 2019, Turkish warplanes carried out air raids on YPG positions near Deir Jamal with neither injuries nor fatalities reported.",0,1571164571
56,5673107,2019-05-05,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,A'zaz,Menagh - Military Airport,36.5220,37.0383,SOHR,"On 5 May 2019, Turkish forces shelled YPG positions in the Menagh Military Airbase with neither injuries nor fatalities reported.",0,1564753635
57,5673108,2019-05-05,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Tall Refaat,36.4726,37.0941,SOHR,"On 5 May 2019, Turkish forces shelled YPG positions in the Tall Refaat area with neither injuries nor fatalities reported.",0,1564753635
58,5673109,2019-05-05,Explosions/Remote violence,Shelling/artillery/missile attack,YPG: Peoples Protection Units,,Military Forces of Turkey (2016-),,Aleppo,A'zaz,A'zaz,Azaz,36.5849,37.0432,SOHR,"On 5 May 2019, YPG forces shelled in the vicinity of the town of Azaz which killed 2 Turkish soldiers and wounded others.",2,1564753635
59,6081856,2019-05-04,Battles,Armed clash,Military Forces of Turkey (2016-),JWS: Syrian National Army,YPG: Peoples Protection Units,,Aleppo,A'zaz,Tall Refaat,Tall Refaat,36.4726,37.0941,Liveuamap,"On 4 May 2019, Turkish and Syrian National Army forces clashed with YPG fighters in the Tall Refaat area with 1 Turkish soldiers reported killed and others wounded from YPG shelling.",1,1571164584
60,6082533,2019-05-04,Battles,Non-state actor overtakes territory,Military Forces of Turkey (2016-),JWS: Syrian National Army,YPG: Peoples Protection Units,,Aleppo,A'zaz,A'zaz,Al-Malikeyyeh,36.5435,36.9904,Liveuamap,"On 4 May 2019, Turkish forces supported by their Syrian National Army allies captured the town of Al-Malikeyyeh in Aleppo province from YPG fighters with neither injuries nor fatalities reported.",0,1571164585
61,6081813,2019-05-04,Battles,Non-state actor overtakes territory,Military Forces of Turkey (2016-),JWS: Syrian National Army,YPG: Peoples Protection Units,,Aleppo,Afrin,Afrin,Shewargha Guzan,36.5503,36.9616,Liveuamap,"On 4 May 2019, Turkish forces supported by their Syrian National Army allies captured the town of Shewargha Guzan from YPG fighters. Amid Turkish shelling neither injuries nor fatalities were reported.",0,1571164584
62,6079182,2019-05-04,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,A'zaz,Ein Daqneh,36.5248,37.0776,Liveuamap,"On 4 May 2019, Turkish forces shelled YPG positions in the town of Ein Daqneh with neither injuries nor fatalities reported.",0,1571164581
63,6081372,2019-05-04,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,Mare',Herbel,36.4325,37.1650,Liveuamap,"On 4 May 2019, Turkish forces shelled YPG positions in the town of Herbel with neither injuries nor fatalities reported.",0,1571164584
64,6081128,2019-05-04,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,YPG: Peoples Protection Units,,Aleppo,A'zaz,A'zaz,Menagh - Military Airport,36.5220,37.0383,Liveuamap,"On 4 May 2019, Turkish forces shelled the Menagh Military Airport which is held by YPG forces with neither injuries nor fatalities reported.",0,1571164583
